OverallQual,GrLivArea,YearBuilt,TotalBsmtSF,FullBath,HalfBath,GarageCars,GarageArea,SalePrice,price_for_sft
6,1519.0,1931,2100.0,1,2,1,239.0,157806.75,88.0267741633301
3,1384.0,1988,838.75,3,0,3,239.0,323075.0,307.03622550900263
7,1290.0,1948,2221.0,4,0,1,239.0,385333.25,206.10130571814497
7,1223.75,1931,838.75,4,1,1,239.0,353746.0,307.03622550900263
3,2669.0,1931,2599.5,3,1,1,593.0,385333.25,145.02384105960266
3,2226.0,1946,1243.0,4,2,3,705.5,383196.0,307.03622550900263
3,1845.0,1931,2599.5,4,1,3,705.5,163739.0,88.0267741633301
3,2800.0,1963,2448.0,2,1,3,705.5,385333.25,180.85375816993465
3,1223.75,1973,2599.5,1,0,3,705.5,385333.25,156.73316228351507
4,1223.75,1966,1261.0,1,1,3,646.0,212338.0,168.38858049167328
8,2002.0,1931,2046.0,3,1,2,480.0,344203.0,168.23216031280546
8,2800.0,1941,2097.0,3,0,1,603.0,385333.25,204.01716738197425
7,2800.0,1931,2599.5,1,2,3,569.0,263379.0,88.0267741633301
3,2226.0,1991,838.75,3,0,3,239.0,385333.25,307.03622550900263
4,2460.0,1978,1944.0,3,1,3,414.0,262623.0,135.09413580246914
5,2721.0,1931,1623.0,2,2,1,336.0,366640.0,225.9026494146642
8,2800.0,1931,1012.0,2,2,3,239.0,385333.25,307.03622550900263
3,1223.75,1950,2599.5,4,2,2,705.0,311686.0,89.51349798966112
3,1779.0,1938,2599.5,3,1,3,705.5,316952.0,100.20613341764148
3,2800.0,1931,838.75,4,0,3,307.0,157806.75,120.83878504672897
3,1782.0,1931,1819.0,4,1,3,423.0,326628.0,179.56459593183067
3,2800.0,1942,2599.5,4,2,3,239.0,385333.25,156.34719596723377
3,2364.0,1931,838.75,1,2,1,620.0,157806.75,290.8801498127341
8,1223.75,1978,2599.5,1,0,1,359.0,280963.0,99.24514305898975
8,2800.0,1991,2197.0,4,2,2,239.0,311369.0,141.7246244879381
6,2800.0,1991,2599.5,4,2,1,407.0,157806.75,88.0267741633301
3,1799.0,1985,838.75,2,1,3,239.0,261054.0,307.03622550900263
6,1543.0,1935,2599.5,1,0,3,705.5,278867.0,88.0267741633301
7,2800.0,1931,1736.0,3,1,1,480.0,310133.0,178.64804147465438
3,1752.0,1952,1071.0,2,0,1,705.5,224996.0,210.08029878618115
3,2800.0,1991,838.75,4,2,1,239.0,211608.0,307.03622550900263
6,2783.0,1975,2599.5,1,1,3,239.0,373965.0,120.67279767666989
8,1223.75,1937,2421.0,1,2,3,239.0,385333.25,162.1602643535729
4,2800.0,1988,1427.0,1,0,3,428.0,329415.0,230.84442887175894
8,2584.0,1931,2599.5,1,2,3,705.5,157806.75,88.0267741633301
3,2800.0,1983,1649.0,3,2,1,705.5,385333.25,279.44754396604003
7,2440.0,1972,2332.0,3,1,2,239.0,158584.0,88.0267741633301
3,2800.0,1980,838.75,1,0,3,437.0,216166.0,307.03622550900263
8,1653.0,1937,838.75,2,2,3,705.5,157806.75,183.15764139590854
8,2800.0,1957,2599.5,4,0,3,239.0,259396.0,88.05023761031907
3,2255.0,1991,2599.5,1,2,2,239.0,157806.75,88.0267741633301
8,2285.0,1991,2599.5,4,1,3,377.0,267047.0,88.0267741633301
7,2800.0,1990,1687.0,1,2,3,490.0,385333.25,249.09602845287492
3,2800.0,1931,2599.5,1,0,2,551.0,219522.0,88.0267741633301
8,2800.0,1931,1073.0,4,0,1,412.0,385333.25,307.03622550900263
8,2800.0,1968,2599.5,3,0,1,692.0,350697.0,130.1287569573284
3,1223.75,1988,1942.0,4,1,1,655.0,385333.25,238.64675592173018
7,1223.75,1931,2067.0,3,1,2,239.0,175803.0,88.0267741633301
8,1560.0,1977,2247.0,2,1,3,321.0,157806.75,88.0267741633301
3,2800.0,1985,2281.0,3,2,1,239.0,206855.0,90.68610258658484
8,1853.0,1977,2075.0,1,1,2,426.0,157806.75,88.0267741633301
7,2800.0,1931,2414.0,4,0,1,239.0,157806.75,88.0267741633301
7,1872.0,1931,2157.0,1,1,1,705.5,157806.75,88.0267741633301
3,1223.75,1972,1469.0,2,2,1,705.5,269197.0,183.25187202178353
7,2246.0,1991,2599.5,4,2,3,705.5,385333.25,140.1324620275521
5,1223.75,1974,2599.5,1,2,2,560.0,256234.0,88.0267741633301
6,2002.0,1931,1387.0,3,2,1,705.5,233092.0,168.05479452054794
8,2395.0,1991,2376.0,1,1,2,581.0,157806.75,88.0267741633301
3,1223.75,1991,1250.0,3,0,3,239.0,170779.0,136.6232
3,1416.0,1931,927.0,1,1,3,239.0,294369.0,307.03622550900263
8,1223.75,1950,2599.5,1,1,3,568.0,212519.0,88.0267741633301
6,2800.0,1935,1694.0,3,0,2,242.0,157806.75,88.0267741633301
4,1223.75,1966,2078.0,1,2,1,705.5,183374.0,88.24542829643889
6,2800.0,1985,1824.0,4,1,3,477.0,157806.75,88.0267741633301
8,2161.0,1965,838.75,3,2,1,675.0,316649.0,307.03622550900263
6,1467.0,1931,838.75,4,0,3,273.0,220890.0,289.5019659239843
5,2154.0,1944,838.75,3,0,2,384.0,385333.25,307.03622550900263
8,2455.0,1967,2005.0,4,2,3,636.0,244327.0,121.85885286783042
4,1973.0,1988,2598.0,1,2,3,705.5,190914.0,88.0267741633301
8,2569.0,1953,2292.0,2,2,1,405.0,240050.0,104.73385689354276
6,1771.0,1991,2531.0,1,2,2,368.0,197178.0,88.0267741633301
8,1223.75,1931,1515.0,3,1,1,705.5,380333.0,251.04488448844884
3,2800.0,1931,838.75,4,0,3,239.0,384563.0,307.03622550900263
8,2800.0,1991,2599.5,1,2,1,239.0,226166.0,88.0267741633301
8,2048.0,1935,1614.0,3,1,1,383.0,278339.0,172.45291201982653
4,2339.0,1991,838.75,2,0,2,239.0,168052.0,307.03622550900263
7,2109.0,1943,1613.0,1,2,3,239.0,378827.0,234.85864848109114
8,2153.0,1937,1475.0,2,2,3,527.0,299388.0,202.9749152542373
3,2800.0,1964,2599.5,4,1,3,705.5,301974.0,88.0267741633301
7,1976.0,1976,2599.5,3,2,2,667.0,182871.0,88.0267741633301
3,1223.75,1931,843.0,1,0,1,705.5,258661.0,306.83392645314353
3,2800.0,1951,1111.0,4,1,3,239.0,331233.0,298.13951395139514
3,2571.0,1991,1100.0,2,2,3,239.0,276115.0,251.01363636363635
8,2800.0,1973,1410.0,4,1,1,239.0,157806.75,88.0267741633301
8,2369.0,1991,838.75,4,0,1,499.0,165631.0,307.03622550900263
3,1821.0,1991,838.75,1,1,2,260.0,157806.75,159.1063122923588
7,2800.0,1931,838.75,4,2,3,705.5,341666.0,307.03622550900263
8,1223.75,1955,2599.5,4,0,3,239.0,385333.25,139.3961992513677
3,1223.75,1942,1186.0,1,2,1,239.0,336503.0,283.7293423271501
3,1223.75,1931,2599.5,2,2,3,239.0,385333.25,158.97221206581352
4,2461.0,1980,838.75,1,0,1,524.0,282199.0,307.03622550900263
8,1223.75,1991,2599.5,1,0,2,510.0,157806.75,88.0267741633301
8,2800.0,1931,953.0,2,2,3,310.0,385333.25,307.03622550900263
4,1223.75,1965,2596.0,4,1,1,239.0,385333.25,184.1517719568567
8,1223.75,1971,1098.0,3,0,3,705.5,367053.0,307.03622550900263
8,2800.0,1931,1681.0,4,0,3,244.0,277806.0,165.26234384295063
8,2800.0,1931,2548.0,1,0,2,662.0,385333.25,173.92150706436422
5,1223.75,1991,2569.0,2,1,2,335.0,385333.25,173.20630595562477
3,1223.75,1991,2599.5,3,2,3,239.0,157806.75,88.0267741633301
4,2800.0,1974,2599.5,2,2,2,239.0,346163.0,127.54716285924835
8,2212.0,1931,2071.0,1,1,3,603.0,163043.0,88.0267741633301
3,1663.0,1964,838.75,4,2,3,398.0,159038.0,291.81284403669724
3,2800.0,1943,1721.0,2,0,1,595.0,157806.75,88.0267741633301
8,1223.75,1931,838.75,1,2,1,615.0,205407.0,307.03622550900263
5,1408.0,1931,1351.0,3,2,3,705.5,158782.0,117.52923760177646
8,2213.0,1981,2229.0,1,1,3,239.0,385333.25,208.15298340062807
3,1223.75,1931,1836.0,4,0,3,680.0,385333.25,225.0239651416122
3,2397.0,1991,1732.0,1,1,1,705.5,247719.0,143.02482678983833
8,1223.75,1966,2208.0,3,1,3,505.0,157806.75,88.0267741633301
7,1223.75,1931,2599.5,2,0,2,705.5,385333.25,126.61777196994446
8,2012.0,1991,2599.5,4,0,3,705.5,318017.0,100.00534591194969
3,2800.0,1966,2495.0,1,2,2,239.0,385333.25,164.85931863727455
4,2800.0,1991,1921.0,1,2,3,705.5,157806.75,88.0267741633301
7,2608.0,1957,2224.0,2,0,3,315.0,385333.25,176.3138489208633
3,1457.0,1984,838.75,1,2,1,294.0,157806.75,172.5653896961691
5,1624.0,1931,838.75,3,0,1,239.0,157806.75,307.03622550900263
6,1756.0,1991,2599.5,4,2,2,705.5,385333.25,135.1282396499495
7,2206.0,1972,838.75,1,2,1,516.0,238978.0,307.03622550900263
7,2796.0,1943,1808.0,4,0,2,240.0,294850.0,163.08075221238937
3,2800.0,1965,2599.5,2,1,3,239.0,308511.0,111.21521268925738
3,1223.75,1931,838.75,1,2,1,705.5,333899.0,307.03622550900263
4,1442.0,1991,2145.0,3,2,3,239.0,332888.0,155.1925407925408
8,2800.0,1931,838.75,2,0,3,239.0,385333.25,307.03622550900263
3,2688.0,1991,908.0,3,0,3,705.5,385333.25,307.03622550900263
8,2800.0,1991,1112.0,3,0,1,397.0,385333.25,307.03622550900263
8,1664.0,1970,2599.5,3,1,1,688.0,282603.0,88.0267741633301
4,1223.75,1931,2195.0,3,0,2,705.5,385333.25,185.4405466970387
3,1223.75,1991,1845.0,3,1,3,579.0,385333.25,211.9918699186992
3,1680.0,1991,2599.5,2,1,2,705.5,343559.0,108.5837547408344
8,2502.0,1946,1316.0,4,2,1,633.0,157806.75,88.0267741633301
8,1223.75,1947,1007.0,2,1,1,705.5,157806.75,129.214498510427
3,1223.75,1991,2599.5,1,0,3,441.0,157806.75,88.0267741633301
5,1223.75,1956,2599.5,3,0,3,693.0,385333.25,160.80305723426946
6,2560.0,1975,838.75,2,0,2,705.5,157806.75,88.0267741633301
3,1484.0,1980,2599.5,4,0,1,411.0,157806.75,88.0267741633301
5,1223.75,1931,1710.0,2,0,3,239.0,243238.0,142.24444444444444
8,2800.0,1978,2517.0,4,0,2,705.5,385333.25,186.3492252681764
7,1223.75,1944,838.75,2,0,3,494.0,385333.25,307.03622550900263
8,1223.75,1991,1829.0,1,0,3,551.0,385333.25,230.64898851831603
5,2431.0,1991,1730.0,2,2,1,558.0,385333.25,241.98843930635837
8,1804.0,1991,2249.0,1,1,3,239.0,157806.75,88.0267741633301
3,2676.0,1991,2309.0,4,1,2,287.0,385333.25,195.66652230402772
3,1223.75,1937,2021.0,3,2,3,515.0,257094.0,127.21128154379021
3,1749.0,1936,2599.5,1,2,3,495.0,340202.0,126.23450834879407
3,2800.0,1979,838.75,3,1,3,403.0,157806.75,307.03622550900263
3,1294.0,1931,838.75,4,2,1,385.0,385333.25,307.03622550900263
7,2381.0,1948,936.0,2,1,3,604.0,385333.25,307.03622550900263
6,1288.0,1931,838.75,3,2,2,577.0,385333.25,307.03622550900263
8,1961.0,1991,838.75,4,2,3,705.5,157806.75,128.70824524312897
6,1223.75,1986,838.75,4,1,3,332.0,157806.75,183.66931216931218
5,2072.0,1991,838.75,2,0,3,390.0,385333.25,307.03622550900263
6,1522.0,1991,1790.0,1,1,1,239.0,343764.0,192.04692737430167
4,1776.0,1932,838.75,2,1,3,514.0,242342.0,307.03622550900263
7,1223.75,1980,1545.0,3,2,1,705.5,157806.75,90.46537216828479
7,1676.0,1931,2599.5,2,2,1,688.0,275109.0,98.14805565465572
3,1223.75,1931,1694.0,2,2,2,585.0,187955.0,110.95336481700119
5,1223.75,1942,838.75,3,0,2,314.0,157806.75,168.50444444444443
5,2800.0,1931,2031.0,1,1,1,705.5,157806.75,88.0267741633301
3,2586.0,1931,2599.5,4,0,2,476.0,157806.75,88.0267741633301
8,2626.0,1931,1182.0,4,1,3,269.0,302458.0,255.88663282571912
4,1513.0,1931,2386.0,4,0,3,705.5,157806.75,88.0267741633301
7,1289.0,1964,2599.5,2,1,1,705.5,385333.25,156.19824253075572
8,2800.0,1967,838.75,1,1,3,705.5,304049.0,307.03622550900263
3,1223.75,1991,2493.0,3,1,3,656.0,157806.75,88.0267741633301
8,2483.0,1949,1782.0,1,0,3,705.5,385333.25,232.62514029180696
4,2037.0,1971,2375.0,3,2,3,705.5,385333.25,166.232
5,1713.0,1931,838.75,4,0,2,252.0,385333.25,307.03622550900263
3,2726.0,1940,2599.5,1,0,3,294.0,385333.25,180.52335063009636
8,1223.75,1963,2599.5,3,0,1,705.5,157806.75,88.0267741633301
6,1690.0,1931,1014.0,3,0,1,239.0,385333.25,307.03622550900263
8,2200.0,1931,838.75,1,2,1,705.5,157806.75,89.99013157894737
8,1223.75,1931,2599.5,2,0,3,705.5,385333.25,172.32240634005763
8,2800.0,1931,939.0,4,2,3,705.5,201260.0,214.33439829605965
8,1223.75,1991,2091.0,4,1,1,705.5,157806.75,88.0267741633301
4,1223.75,1950,2599.5,1,0,3,536.0,157806.75,88.0267741633301
3,2285.0,1991,2599.5,2,1,1,302.0,353143.0,103.31860737273259
3,1468.0,1931,838.75,4,1,3,315.0,183052.0,259.2804532577904
8,1415.0,1991,2533.0,1,1,1,569.0,157806.75,88.0267741633301
8,1454.0,1931,838.75,1,2,3,636.0,157806.75,183.1413237924866
7,2800.0,1958,838.75,2,0,3,640.0,255691.0,307.03622550900263
6,2800.0,1935,838.75,1,0,3,705.5,229140.0,307.03622550900263
3,1853.0,1931,2599.5,2,0,1,502.0,313504.0,102.5528295714753
8,2800.0,1979,2557.0,2,2,1,239.0,385333.25,180.37309346890888
8,2800.0,1962,2096.0,3,2,1,705.5,157806.75,88.0267741633301
3,2575.0,1932,838.75,3,1,1,260.0,385333.25,307.03622550900263
8,1223.75,1991,1522.0,1,0,1,239.0,367984.0,241.77660972404732
4,2800.0,1931,2548.0,4,1,1,672.0,201804.0,88.0267741633301
3,1223.75,1937,1286.0,3,0,1,239.0,385333.25,303.0163297045101
4,2072.0,1931,1456.0,3,0,1,545.0,157806.75,88.0267741633301
5,2009.0,1991,838.75,2,0,3,495.0,385333.25,307.03622550900263
3,2617.0,1931,2599.5,4,0,1,705.5,230942.0,88.0267741633301
8,1503.0,1991,2136.0,4,2,3,705.5,157806.75,88.0267741633301
4,2800.0,1991,2190.0,1,0,1,415.0,385333.25,198.9753424657534
3,2800.0,1980,2599.5,3,2,2,705.5,385333.25,173.3444486547935
8,1223.75,1931,838.75,1,2,3,705.5,298544.0,307.03622550900263
8,1223.75,1991,838.75,4,1,3,416.0,385333.25,307.03622550900263
4,1223.75,1931,898.0,3,1,1,696.0,285728.0,307.03622550900263
5,2800.0,1943,2599.5,4,1,2,705.5,189283.0,88.0267741633301
5,2208.0,1931,2599.5,2,2,3,600.0,291258.0,109.95016987542469
4,2800.0,1949,2599.5,1,1,2,705.5,385333.25,167.58006756756757
3,1223.75,1931,1758.0,4,0,2,239.0,345337.0,196.43742889647328
5,1223.75,1931,952.0,3,2,1,276.0,385333.25,307.03622550900263
7,1898.0,1965,2492.0,1,2,3,598.0,385333.25,178.4225521669342
7,1662.0,1938,1997.0,1,2,1,705.5,269522.0,134.96344516775162
8,1898.0,1991,2599.5,2,2,1,239.0,157806.75,88.0267741633301
6,1375.0,1991,1653.0,3,2,3,705.5,157806.75,88.0267741633301
8,2800.0,1935,2599.5,3,2,2,440.0,157806.75,88.0267741633301
7,2800.0,1972,2472.0,2,1,3,705.5,157806.75,88.0267741633301
7,2800.0,1991,1347.0,3,0,1,705.5,385333.25,307.03622550900263
3,2484.0,1958,1043.0,1,1,1,239.0,157806.75,88.79865771812081
8,2430.0,1931,1335.0,2,1,1,705.5,157806.75,88.0267741633301
5,1223.75,1990,2599.5,4,1,2,239.0,253198.0,88.0267741633301
7,2800.0,1991,838.75,4,0,3,239.0,157806.75,164.89676113360323
5,1223.75,1991,1880.0,1,1,1,705.5,157806.75,88.0267741633301
8,2800.0,1991,838.75,4,0,3,239.0,219462.0,307.03622550900263
8,2800.0,1961,1207.0,1,0,1,239.0,157806.75,88.0267741633301
6,1875.0,1991,1758.0,2,2,1,454.0,244905.0,139.30887372013652
7,1941.0,1975,1967.0,4,1,2,705.5,345070.0,175.4295882053889
4,1223.75,1935,1327.0,2,1,3,582.0,385333.25,307.03622550900263
6,2396.0,1931,1814.0,4,2,1,239.0,157806.75,88.0267741633301
8,1223.75,1991,2599.5,2,1,2,579.0,385333.25,143.53148854961833
4,1223.75,1991,1360.0,1,1,2,705.5,286977.0,211.0125
6,2800.0,1969,838.75,2,2,2,672.0,157806.75,218.97527472527472
8,2648.0,1991,2599.5,3,0,1,705.5,157806.75,88.0267741633301
8,1967.0,1931,838.75,2,1,1,664.0,260127.0,307.03622550900263
3,1223.75,1975,2522.0,3,2,3,386.0,221826.0,88.0267741633301
8,2200.0,1987,838.75,3,0,1,335.0,170319.0,232.3587994542974
8,2800.0,1991,838.75,1,1,2,586.0,385333.25,307.03622550900263
6,2800.0,1968,2070.0,3,1,1,239.0,325011.0,157.01014492753623
5,1630.0,1991,1509.0,2,0,3,705.5,284317.0,188.41418157720344
8,2450.0,1931,2599.5,4,2,1,239.0,203177.0,88.0267741633301
8,2800.0,1982,908.0,3,1,1,239.0,385333.25,307.03622550900263
5,1223.75,1936,2384.0,2,2,1,239.0,157806.75,88.0267741633301
8,2463.0,1964,2599.5,4,2,3,705.5,250151.0,90.0471562275018
7,1508.0,1931,838.75,1,2,3,365.0,385333.25,307.03622550900263
3,1296.0,1931,2197.0,2,2,2,705.5,221872.0,100.98862084660901
6,2800.0,1931,1918.0,3,1,1,705.5,178326.0,92.97497393117831
3,1712.0,1953,2599.5,2,1,3,670.0,355051.0,118.70645269140756
3,1223.75,1938,2126.0,3,2,3,685.0,325087.0,152.9101599247413
5,1712.0,1990,838.75,2,1,1,323.0,385333.25,307.03622550900263
8,2800.0,1931,838.75,2,0,3,705.5,192304.0,272.77163120567377
8,1223.75,1931,1189.0,3,0,3,705.5,361934.0,304.40201850294363
3,2363.0,1931,995.0,3,2,1,477.0,157806.75,128.62010050251257
3,2800.0,1931,2599.5,3,1,3,239.0,385333.25,145.12507534659434
6,1384.0,1968,838.75,3,1,3,239.0,273584.0,307.03622550900263
8,2032.0,1951,2599.5,3,1,3,239.0,218626.0,88.0267741633301
8,1223.75,1991,838.75,2,0,3,239.0,333533.0,307.03622550900263
8,1244.0,1931,838.75,2,2,1,705.5,157806.75,151.4979702300406
3,1781.0,1991,1533.0,4,2,3,239.0,385333.25,254.45270711024136
6,1223.75,1983,838.75,1,0,2,386.0,157806.75,146.50651769087523
5,1223.75,1931,1555.0,1,2,3,538.0,157806.75,88.0267741633301
5,1223.75,1965,2599.5,4,2,2,705.5,288868.0,88.0267741633301
4,2729.0,1940,838.75,2,2,3,349.0,213283.0,297.88128491620114
3,1223.75,1931,2599.5,3,1,3,430.0,338151.0,108.41647964091055
7,1329.0,1971,838.75,2,1,3,239.0,157806.75,307.03622550900263
3,2343.0,1949,838.75,4,2,3,384.0,385333.25,307.03622550900263
5,2800.0,1991,1882.0,1,1,1,705.5,201148.0,106.87991498405951
8,2244.0,1973,2599.5,3,0,2,273.0,157806.75,88.0267741633301
6,1223.75,1944,2200.0,1,0,3,239.0,157806.75,88.0267741633301
8,1223.75,1991,1134.0,3,1,2,297.0,323590.0,285.35273368606704
8,1742.0,1931,2359.0,3,0,2,382.0,385333.25,181.08096651123358
8,2800.0,1931,838.75,4,2,3,356.0,328667.0,307.03622550900263
8,2800.0,1987,838.75,1,1,3,423.0,238165.0,307.03622550900263
8,2172.0,1939,1373.0,4,0,1,509.0,157806.75,101.01602330662782
8,2738.0,1991,1575.0,2,0,1,239.0,368053.0,233.68444444444444
8,2721.0,1948,2599.5,1,1,3,705.5,371583.0,114.68611111111112
4,1223.75,1942,2555.0,4,0,3,309.0,157806.75,88.0267741633301
3,1408.0,1931,1757.0,2,1,3,338.0,385333.25,242.33921457029027
7,1223.75,1986,1080.0,1,0,3,634.0,385333.25,307.03622550900263
8,2606.0,1991,838.75,3,1,1,705.5,385333.25,307.03622550900263
6,1223.75,1941,915.0,3,2,1,239.0,385333.25,307.03622550900263
4,1223.75,1980,2469.0,4,1,3,545.0,366690.0,148.5176184690158
8,1223.75,1980,838.75,1,0,3,597.0,265406.0,307.03622550900263
8,1414.0,1931,2599.5,1,2,1,705.5,247210.0,93.32200830502076
8,1601.0,1991,1646.0,3,2,1,239.0,243199.0,147.75151883353584
4,2800.0,1944,2109.0,3,2,1,705.5,385333.25,214.0787102892366
3,2522.0,1931,1579.0,3,2,1,705.5,385333.25,302.1659278024066
8,1499.0,1976,2599.5,2,1,1,534.0,157806.75,88.0267741633301
8,2287.0,1931,1404.0,3,1,1,705.5,175508.0,125.00569800569801
7,2007.0,1931,1320.0,3,0,3,366.0,157806.75,88.0267741633301
4,2800.0,1931,838.75,2,1,1,239.0,157806.75,307.03622550900263
8,1223.75,1987,1864.0,3,0,1,705.5,291257.0,156.25375536480686
7,1223.75,1985,2599.5,3,2,1,705.5,306757.0,103.77435723951285
8,2778.0,1931,1233.0,4,0,1,239.0,157806.75,88.0267741633301
7,2052.0,1991,838.75,3,2,1,440.0,385333.25,307.03622550900263
4,2800.0,1931,838.75,3,0,1,610.0,157806.75,307.03622550900263
8,1404.0,1991,1216.0,4,2,1,690.0,292015.0,240.14391447368422
4,1396.0,1990,838.75,1,2,3,239.0,385333.25,307.03622550900263
3,1546.0,1948,838.75,4,1,3,239.0,385333.25,307.03622550900263
8,2179.0,1932,838.75,2,1,2,705.5,385333.25,307.03622550900263
7,2538.0,1950,838.75,3,1,1,314.0,303701.0,307.03622550900263
4,1373.0,1931,1733.0,4,0,1,239.0,385333.25,273.38949798038084
5,2234.0,1981,1263.0,1,2,3,239.0,385333.25,307.03622550900263
8,1230.0,1937,2599.5,1,0,2,705.5,157806.75,88.0267741633301
6,2318.0,1991,2190.0,3,1,2,620.0,227388.0,103.83013698630137
8,1905.0,1931,838.75,4,1,3,705.5,157806.75,245.24105011933173
8,1223.75,1931,838.75,3,0,3,505.0,276688.0,307.03622550900263
6,2800.0,1991,838.75,4,1,3,248.0,157806.75,295.93131868131866
4,2800.0,1980,838.75,3,2,3,300.0,157806.75,217.4044776119403
5,1223.75,1940,838.75,3,0,1,239.0,160031.0,307.03622550900263
8,1223.75,1939,2329.0,2,1,3,705.5,157806.75,88.0267741633301
5,2133.0,1981,838.75,4,0,3,705.5,159175.0,307.03622550900263
5,2387.0,1967,838.75,4,0,1,239.0,157806.75,219.08489208633094
8,2800.0,1940,2599.5,4,0,3,705.5,157806.75,88.0267741633301
3,1692.0,1949,1117.0,4,0,1,503.0,249201.0,223.09847806624887
8,2800.0,1991,1908.0,4,1,1,705.5,225432.0,118.15094339622641
7,2800.0,1931,2599.5,2,0,2,705.5,157806.75,88.0267741633301
8,2800.0,1953,1547.0,1,2,3,634.0,179287.0,115.89334195216549
8,1317.0,1984,2599.5,4,0,1,474.0,263090.0,88.0267741633301
3,2800.0,1951,838.75,3,1,1,308.0,179324.0,307.03622550900263
6,1683.0,1931,838.75,4,1,3,377.0,385333.25,307.03622550900263
5,1223.75,1988,2599.5,1,0,1,599.0,222077.0,88.0267741633301
7,2246.0,1981,1585.0,2,0,3,239.0,157806.75,88.0267741633301
8,2800.0,1931,2599.5,4,2,2,245.0,162223.0,88.0267741633301
8,1703.0,1991,838.75,1,1,3,533.0,385333.25,307.03622550900263
3,1223.75,1991,2599.5,1,1,2,705.5,261944.0,88.91513917175831
8,2800.0,1931,1853.0,1,2,1,705.5,385333.25,258.15920129519697
3,1223.75,1931,838.75,3,0,3,705.5,157806.75,152.17329093799682
6,1223.75,1931,1592.0,4,2,3,427.0,385333.25,278.16331658291455
8,2585.0,1947,2599.5,4,1,2,400.0,261940.0,97.41167720342135
3,2800.0,1961,838.75,2,0,1,239.0,157806.75,307.03622550900263
4,2336.0,1949,1196.0,1,0,3,472.0,385333.25,307.03622550900263
