ID,OverallQual,GrLivArea,YearBuilt,TotalBsmtSF,FullBath,HalfBath,GarageCars,GarageArea,SalePrice
102,5,1078,1974,3275,1,2,2,560,256234
103,6,2002,1912,1387,3,2,0,792,233092
104,8,2395,1998,2376,1,1,2,581,87999
105,2,1153,2022,1250,3,0,3,149,170779
106,1,1416,1901,927,1,1,4,52,294369
107,9,542,1950,2675,1,1,4,568,212519
108,6,2933,1935,1694,3,0,2,242,143961
109,4,808,1966,2078,1,2,1,813,183374
110,6,3376,1985,1824,4,1,4,477,146820
111,9,2161,1965,581,3,2,0,675,316649
112,6,1467,1902,763,4,0,4,273,220890
113,5,2154,1944,699,3,0,2,384,409858
114,9,2455,1967,2005,4,2,3,636,244327
115,4,1973,1988,2598,1,2,3,917,190914
116,10,2569,1953,2292,2,2,0,405,240050
117,6,1771,2021,2531,1,2,2,368,197178
118,9,590,1903,1515,3,1,1,954,380333
119,3,3406,1922,459,4,0,4,13,384563
120,8,3221,2011,2862,1,2,1,99,226166
121,10,2048,1935,1614,3,1,1,383,278339
122,4,2339,1999,100,2,0,2,87,168052
123,7,2109,1943,1613,1,2,3,95,378827
124,8,2153,1937,1475,2,2,4,527,299388
125,3,2997,1964,3495,4,1,4,720,301974
126,7,1976,1976,3085,3,2,2,667,182871
127,3,1118,1914,843,1,0,1,801,258661
128,3,3117,1951,1111,4,1,3,82,331233
129,1,2571,1998,1100,2,2,4,81,276115
130,8,3059,1973,1410,4,1,1,187,61820
131,10,2369,2001,238,4,0,1,499,165631
132,2,1821,2001,602,1,1,2,260,95782
133,7,3493,1929,838,4,2,3,799,341666
134,9,517,1955,3473,4,0,3,34,484123
135,1,966,1942,1186,1,2,0,28,336503
136,2,751,1900,2735,2,2,4,113,434789
137,4,2461,1980,646,1,0,1,524,282199
138,10,1163,2014,2604,1,0,2,510,138632
139,8,2938,1915,953,2,2,4,310,415734
140,4,1086,1965,2596,4,1,1,37,478058
141,10,512,1971,1098,3,0,3,796,367053
142,10,3088,1916,1681,4,0,3,244,277806
143,8,3351,1929,2548,1,0,2,662,443152
144,5,1015,2010,2569,2,1,2,335,444967
145,3,709,2009,3418,3,2,4,86,75837
146,4,3014,1974,2714,2,2,2,211,346163
147,8,2212,1927,2071,1,1,3,603,163043
148,1,1663,1964,545,4,2,3,398,159038
149,2,3227,1943,1721,2,0,1,595,93388
150,10,624,1905,634,1,2,0,615,205407
151,5,1408,1920,1351,3,2,4,835,158782
152,9,2213,1981,2229,1,1,4,33,463973
153,2,1076,1910,1836,4,0,3,680,413144
154,3,2397,2011,1732,1,1,0,990,247719
155,10,626,1966,2208,3,1,3,505,64709
156,7,875,1902,3061,2,0,2,727,387577
157,8,2012,2017,3180,4,0,4,767,318017
158,3,2959,1966,2495,1,2,2,179,411324
159,4,3152,2008,1921,1,2,3,981,114426
160,7,2608,1957,2224,2,0,3,315,392122
161,1,1457,1984,757,1,2,1,294,130632
162,5,1624,1917,315,3,0,0,236,120586
163,6,1756,1994,2971,4,2,2,895,401466
164,7,2206,1972,54,1,2,1,516,238978
165,7,2796,1943,1808,4,0,2,240,294850
166,3,3329,1965,2774,2,1,3,167,308511
167,1,897,1916,162,1,2,1,943,333899
168,4,1442,2018,2145,3,2,3,5,332888
169,9,3139,1928,29,2,0,4,119,438416
170,1,2688,1998,908,3,0,4,888,394193
171,9,2923,2019,1112,3,0,1,397,497300
172,8,1664,1970,3379,3,1,1,688,282603
173,4,1131,1909,2195,3,0,2,928,407042
174,3,579,2000,1845,3,1,3,579,391125
175,2,1680,2012,3164,2,1,2,928,343559
176,9,2502,1946,1316,4,2,0,633,101128
177,8,981,1947,1007,2,1,0,912,130119
178,2,904,2005,2866,1,0,3,441,155855
179,5,1058,1956,2813,3,0,4,693,452339
180,6,2560,1975,831,2,0,2,936,66270
181,2,1484,1980,3453,4,0,1,411,74554
182,5,619,1917,1710,2,0,4,17,243238
183,10,3202,1978,2517,4,0,2,923,469041
184,7,825,1944,371,2,0,3,494,469938
185,10,762,1998,1829,1,0,4,551,421857
186,5,2431,2012,1730,2,2,1,558,418640
187,10,1804,1995,2249,1,1,4,178,142470
188,3,2676,2008,2309,4,1,2,287,451794
189,1,525,1937,2021,3,2,4,515,257094
190,3,1749,1936,2695,1,2,3,495,340202
191,3,3218,1979,21,3,1,3,403,113812
192,2,1294,1900,620,4,2,1,385,468459
193,7,2381,1948,936,2,1,3,604,461137
194,6,1288,1923,650,3,2,2,577,429998
195,10,1961,1994,473,4,2,4,830,60879
196,6,1041,1986,756,4,1,4,332,138854
197,5,2072,1995,399,2,0,4,390,403108
198,6,1522,2005,1790,1,1,1,174,343764
199,4,1776,1932,356,2,1,3,514,242342
200,7,730,1980,1545,3,2,1,779,139769
201,7,1676,1918,2803,2,2,0,688,275109
202,3,1146,1922,1694,2,2,2,585,187955
203,5,1122,1942,450,3,0,2,314,75827
204,5,2877,1918,2031,1,1,1,975,149798
205,1,2586,1919,2845,4,0,2,476,156493
206,8,2626,1929,1182,4,1,3,269,302458
207,4,1513,1931,2386,4,0,3,949,121853
208,7,1289,1964,2845,2,1,1,860,444384
209,10,3421,1967,448,1,1,3,940,304049
210,2,583,2002,2493,3,1,3,656,146761
211,9,2483,1949,1782,1,0,4,822,414538
212,4,2037,1971,2375,3,2,3,821,394801
213,5,1713,1926,230,4,0,2,252,457019
214,2,2726,1940,2698,1,0,4,294,487052
215,8,1088,1963,3445,3,0,0,893,150266
216,6,1690,1919,1014,3,0,0,94,442677
217,10,2200,1929,608,1,2,1,756,54714
218,9,781,1904,2776,2,0,3,811,478367
219,10,2811,1920,939,4,2,4,932,201260
220,8,730,2007,2091,4,1,1,856,156333
221,4,546,1950,2683,1,0,3,536,119329
222,2,2285,2003,3418,2,1,1,302,353143
223,2,1468,1925,706,4,1,4,315,183052
224,9,1415,1998,2533,1,1,0,569,147922
225,10,1454,1911,559,1,2,4,636,102376
226,7,3485,1958,615,2,0,4,640,255691
227,6,3158,1935,337,1,0,3,836,229140
228,1,1853,1911,3057,2,0,0,502,313504
229,9,3172,1979,2557,2,2,1,13,461214
230,8,3391,1962,2096,3,2,1,995,135322
231,1,2575,1932,624,3,1,0,260,431429
232,8,1046,2020,1522,1,0,0,154,367984
233,4,3136,1923,2548,4,1,0,672,201804
234,2,763,1937,1286,3,0,1,12,389679
235,4,2072,1914,1456,3,0,0,545,86583
236,5,2009,1996,324,2,0,4,495,422660
237,1,2617,1917,3093,4,0,0,944,230942
238,10,1503,2008,2136,4,2,3,751,63708
239,4,3287,2015,2190,1,0,1,415,435756
240,2,3332,1980,2639,3,2,2,837,457456
241,9,969,1900,553,1,2,3,776,298544
242,10,1056,2005,637,4,1,3,416,457344
243,4,632,1915,898,3,1,1,696,285728
244,5,2992,1943,3124,4,1,2,765,189283
245,5,2208,1928,2649,2,2,3,600,291258
246,4,2841,1949,2960,1,1,2,839,496037
247,3,719,1907,1758,4,0,2,222,345337
248,5,681,1907,952,3,2,0,276,491732
249,7,1898,1965,2492,1,2,3,598,444629
250,7,1662,1938,1997,1,2,0,728,269522
251,9,1898,2022,2694,2,2,0,75,132772
252,6,1375,2002,1653,3,2,4,769,93181
253,8,3471,1935,3252,3,2,2,440,82031
254,7,3392,1972,2472,2,1,4,973,122901
255,7,3046,2015,1347,3,0,1,938,496031
256,3,2484,1958,1043,1,1,0,233,92617
257,9,2430,1924,1335,2,1,1,772,60416
258,5,1066,1990,2972,4,1,2,15,253198
259,7,3155,2017,494,4,0,3,193,81459
260,5,658,2014,1880,1,1,1,707,134344
261,8,3058,1997,565,4,0,4,229,219462
262,10,2934,1961,1207,1,0,1,130,54681
263,6,1875,2001,1758,2,2,0,454,244905
264,7,1941,1975,1967,4,1,2,947,345070
265,4,794,1935,1327,2,1,4,582,475844
266,6,2396,1912,1814,4,2,0,90,127452
267,9,995,2022,3144,2,1,2,579,451263
268,4,684,2019,1360,1,1,2,999,286977
269,6,3049,1969,364,2,2,2,672,79707
270,8,2648,2008,2806,3,0,1,893,114946
271,10,1967,1931,177,2,1,0,664,260127
272,1,1155,1975,2522,3,2,3,386,221826
273,8,2200,1987,733,3,0,0,335,170319
274,9,3377,2013,524,1,1,2,586,401315
275,6,3299,1968,2070,3,1,1,180,325011
276,5,1630,1998,1509,2,0,4,839,284317
277,10,2450,1921,2997,4,2,1,126,203177
278,10,3291,1982,908,3,1,1,157,389739
279,5,1051,1936,2384,2,2,1,47,149917
280,10,2463,1964,2778,4,2,3,894,250151
281,7,1508,1902,460,1,2,4,365,391657
282,3,1296,1903,2197,2,2,2,845,221872
283,6,2878,1918,1918,3,1,0,951,178326
284,1,1712,1953,2991,2,1,3,670,355051
285,1,989,1938,2126,3,2,4,685,325087
286,5,1712,1990,368,2,1,0,323,395757
287,9,3173,1903,705,2,0,4,883,192304
288,10,1019,1909,1189,3,0,4,750,361934
289,3,2363,1930,995,3,2,1,477,127977
290,2,3038,1922,3318,3,1,3,187,481525
291,6,1384,1968,581,3,1,4,155,273584
292,9,2032,1951,3049,3,1,3,205,218626
293,8,867,2008,124,2,0,3,117,333533
294,10,1244,1908,739,2,2,1,891,111957
295,3,1781,2010,1533,4,2,3,231,390076
296,6,673,1983,537,1,0,2,386,78674
297,5,739,1920,1555,1,2,3,538,126669
298,5,706,1965,3477,4,2,2,739,288868
299,4,2729,1940,716,2,2,3,349,213283
300,2,1192,1912,3119,3,1,4,430,338151
301,7,1329,1971,0,2,1,4,158,102880
302,1,2343,1949,451,4,2,3,384,492277
303,5,3379,1996,1882,1,1,0,748,201148
304,9,2244,1973,3334,3,0,2,273,130971
305,6,889,1944,2200,1,0,3,104,112339
306,8,946,2008,1134,3,1,2,297,323590
307,9,1742,1916,2359,3,0,2,382,427170
308,10,3420,1916,633,4,2,4,356,328667
309,10,3281,1987,544,1,1,4,423,238165
310,10,2172,1939,1373,4,0,1,509,138695
311,10,2738,1999,1575,2,0,1,108,368053
312,9,2721,1948,3240,1,1,3,955,371583
313,4,1157,1942,2555,4,0,4,309,143170
314,2,1408,1918,1757,2,1,3,338,425790
315,7,653,1986,1080,1,0,3,634,388988
316,8,2606,1998,690,3,1,1,894,419261
317,6,724,1941,915,3,2,1,61,459521
318,4,1117,1980,2469,4,1,3,545,366690
319,10,1069,1980,33,1,0,4,597,265406
320,10,1414,1925,2649,1,2,0,871,247210
321,8,1601,1995,1646,3,2,0,184,243199
322,4,2917,1944,2109,3,2,1,742,451492
323,3,2522,1902,1579,3,2,0,725,477120
324,9,1499,1976,2651,2,1,1,534,95168
325,10,2287,1918,1404,3,1,1,930,175508
326,7,2007,1907,1320,3,0,3,366,71399
327,4,3433,1912,232,2,1,1,47,140203
328,10,526,1987,1864,3,0,1,976,291257
329,7,579,1985,2956,3,2,0,909,306757
330,9,2778,1910,1233,4,0,0,90,107397
331,7,2052,1991,523,3,2,1,440,453460
332,4,3006,1907,64,3,0,1,610,119541
333,9,1404,2000,1216,4,2,0,690,292015
334,4,1396,1990,782,1,2,3,115,387538
335,1,1546,1948,656,4,1,4,22,413457
336,10,2179,1932,65,2,1,2,999,398055
337,7,2538,1950,768,3,1,1,314,303701
338,4,1373,1922,1733,4,0,1,53,473784
339,5,2234,1981,1263,1,2,4,78,435570
340,8,1230,1937,3381,1,0,2,952,72759
341,6,2318,2018,2190,3,1,2,620,227388
342,9,1905,1919,419,4,1,4,840,102756
343,10,755,1925,802,3,0,4,505,276688
344,6,2881,1994,364,4,1,3,248,107719
345,4,2875,1980,670,3,2,4,300,145661
346,5,1080,1940,404,3,0,0,194,160031
347,10,1205,1939,2329,2,1,4,1000,130724
348,5,2133,1981,282,4,0,3,739,159175
349,5,2387,1967,695,4,0,0,60,152264
350,10,2841,1940,3424,4,0,3,851,99050
351,1,1692,1949,1117,4,0,0,503,249201
352,8,3290,2008,1908,4,1,1,777,225432
353,7,3384,1905,3237,2,0,2,828,94748
354,9,3145,1953,1547,1,2,3,634,179287
355,8,1317,1984,3481,4,0,1,474,263090
356,1,3458,1951,496,3,1,1,308,179324
357,6,1683,1915,837,4,1,3,377,466972
358,5,1074,1988,2629,1,0,1,599,222077
359,7,2246,1981,1585,2,0,3,169,95412
360,8,3113,1918,3090,4,2,2,245,162223
361,9,1703,1997,121,1,1,4,533,499208
362,2,709,2017,2946,1,1,2,710,261944
363,9,2986,1920,1853,1,2,1,972,478369
364,3,526,1930,629,3,0,4,764,95717
365,6,829,1918,1592,4,2,4,427,442836
366,9,2585,1947,2689,4,1,2,400,261940
367,2,3499,1961,281,2,0,0,168,149118
368,4,2336,1949,1196,1,0,3,472,415036
369,4,2849,2021,1059,1,2,4,161,434685
370,1,704,1988,853,2,2,4,694,71512
371,7,597,2021,384,2,0,2,541,73601
372,7,572,1967,1605,2,2,2,717,271559
373,2,3166,1903,2655,2,2,2,102,123679
374,1,1413,1994,1308,1,1,4,936,133335
375,5,957,1947,1447,1,1,0,940,426822
376,3,1732,1982,3031,2,1,3,409,462985
377,1,2923,1936,1009,2,2,0,226,231625
378,6,899,1967,2708,4,2,1,328,337426
379,5,2416,1957,560,2,2,0,495,130323
380,9,2841,1934,220,1,0,4,619,314569
381,2,3437,1948,2884,3,0,1,935,496775
382,8,624,1920,538,1,2,4,514,332847
383,5,1773,2001,1682,2,2,4,705,438809
384,6,846,1971,2781,2,1,1,567,153026
385,9,1937,1905,2583,3,1,4,110,246796
386,3,2849,1966,2460,4,1,1,634,179824
387,10,2527,1975,2238,4,2,1,372,112037
388,10,1213,1919,2512,3,1,1,481,210428
389,3,1485,1926,3217,3,2,2,436,89875
390,6,1896,1948,1658,2,0,1,539,183019
391,4,3114,1913,684,1,0,1,465,386852
392,3,2809,1959,900,4,1,3,573,430062
393,5,500,1946,2863,2,1,4,780,140248
394,3,3039,1971,485,1,1,1,943,370280
395,6,2854,2016,3377,1,0,3,915,120063
396,1,2085,1960,2668,1,1,0,614,412075
397,3,761,1976,2,4,1,2,584,189455
398,2,1774,1912,2076,2,2,2,13,183537
399,6,2726,1936,1769,4,0,3,727,432474
400,6,1697,1924,1707,3,2,2,98,58881
401,6,1029,1927,2003,4,1,2,663,385221
402,4,1906,2019,3241,1,1,3,174,217624
403,2,3358,1928,1512,3,2,1,465,123778
404,4,978,1935,3490,4,0,1,541,226575
405,7,2907,1937,2095,4,2,2,69,57735
406,9,2165,1922,654,3,2,3,734,492175
407,7,1642,1988,1054,2,0,2,500,396673
408,8,2149,1910,1396,4,2,0,955,292339
409,4,1454,1932,3061,2,2,4,595,433115
410,10,1094,1910,301,4,0,2,699,270566
411,9,1089,1909,350,2,0,2,347,451992
412,3,1723,2018,432,3,2,0,942,57754
413,1,3454,1909,839,1,0,0,200,315092
414,9,1514,2022,1784,1,2,0,64,253097
415,1,1219,1978,2346,1,0,0,657,243609
416,7,2640,2007,302,3,1,4,993,268150
417,1,2852,2007,2834,3,2,1,824,374739
418,1,2200,1976,55,4,1,4,626,471608
419,10,1560,1931,394,1,1,2,150,261906
420,6,2173,1980,2674,3,0,3,704,87345
421,9,561,1939,2013,4,1,1,973,74131
422,2,1770,2003,2188,2,0,0,638,495720
423,6,3014,1944,2608,4,1,0,105,209776
424,9,680,1971,1588,1,1,2,940,238648
425,10,1552,2020,3180,2,0,2,393,207118
426,7,1903,1914,1,4,1,1,117,324878
427,9,3420,1905,3199,4,2,4,766,256118
428,8,2865,2014,3233,1,2,4,723,62681
429,3,2508,1920,3195,1,1,2,256,436639
430,3,1142,2010,2569,2,0,3,370,124631
431,9,2555,1950,1846,1,1,2,95,490024
432,7,841,1967,2528,2,2,2,409,385311
433,4,1011,1901,3424,1,0,0,374,345078
434,4,3227,2000,1418,1,0,0,188,346019
435,4,3080,1962,1776,1,2,1,748,175292
436,1,1050,1964,2958,3,2,4,104,176864
437,10,2400,2018,1814,4,0,0,636,450666
438,10,2547,1970,3392,2,2,3,13,376486
439,4,2016,1972,3049,2,0,4,196,215099
440,5,2523,2002,960,1,1,0,78,462576
441,7,1952,1980,1903,1,2,3,280,164266
442,10,3147,1976,642,4,1,1,97,473517
443,3,2853,1993,2952,4,0,4,437,361390
444,8,2477,1994,2538,4,0,1,949,367941
445,8,2537,1997,3227,1,0,4,98,232941
446,7,3042,1997,2684,2,1,2,35,277529
447,4,1165,1923,1153,4,0,2,209,323350
448,2,1330,2019,768,2,1,4,862,112590
449,10,820,1908,2963,3,0,3,705,174273
450,10,3009,1965,3148,3,0,4,69,335953
451,4,3431,1911,2438,1,0,1,673,132075
452,2,2624,1905,637,3,1,0,520,363695
453,2,3108,2003,2367,4,2,1,585,104310
454,7,2310,1952,1918,2,0,1,385,79063
455,4,1750,1916,1133,2,0,3,7,273287
456,5,1522,1993,1291,2,1,4,899,424979
457,10,1661,1965,3265,2,2,2,343,175464
458,4,1629,1933,1904,1,0,0,494,331406
459,1,2543,1971,154,1,0,0,941,462199
460,5,1964,2008,3147,4,2,4,577,393640
461,9,766,1984,1989,4,0,3,2,184315
462,6,1642,1996,2251,4,2,3,66,307267
463,4,2991,1948,1826,4,0,3,424,328349
464,8,1559,2010,3057,3,0,0,25,389473
465,8,1412,1916,1287,1,2,3,325,212013
466,2,1595,1924,3275,4,2,1,456,227961
467,4,3417,1969,1686,2,0,4,573,303964
468,9,1109,1925,2287,1,2,4,220,245908
469,2,1129,1956,1039,3,0,1,206,337265
470,7,846,2000,2054,3,2,3,525,52975
471,2,2292,1996,2289,4,0,3,197,373982
472,3,1389,2020,2366,4,0,3,658,184707
473,10,2803,2008,2349,2,0,4,838,372424
474,8,2478,1954,787,2,2,0,881,104341
475,1,1452,1972,1710,3,1,2,741,119661
476,10,3222,1917,1056,3,2,3,472,228331
477,2,1566,1900,2076,3,0,3,250,261399
478,10,2664,1981,44,4,2,1,874,410436
479,10,1127,1937,759,2,1,3,487,370634
480,4,2714,1903,208,2,0,3,927,178843
481,9,512,1993,688,3,1,4,352,312309
482,8,1213,1973,454,1,2,0,15,435427
483,6,3319,1977,2927,4,1,1,799,278238
484,7,2790,1924,225,1,0,2,876,215125
485,3,1572,1909,1369,4,1,1,393,338302
486,9,658,2002,2500,3,0,4,839,330383
487,2,554,2006,3208,3,1,1,745,187829
488,6,672,1944,1765,1,1,0,17,307660
489,7,1204,1958,477,1,2,1,558,339568
490,1,1994,1921,2718,2,0,2,856,285587
491,9,1556,1932,2531,2,1,2,309,225053
492,1,791,2007,1472,4,2,3,128,410517
493,1,2587,1966,820,3,1,4,231,141189
494,1,1761,2017,1624,1,1,1,135,317921
495,1,1153,1959,2689,1,0,2,361,497857
496,7,3013,1939,1912,2,1,2,662,364309
497,3,1045,1978,2202,4,2,1,13,295388
498,7,1338,1971,1403,4,2,3,308,396905
499,7,1119,1972,2848,2,2,3,743,455827
500,7,1345,1938,2296,3,1,4,255,327719
501,10,1149,1989,2034,2,1,1,554,232838
502,7,2635,1980,1206,1,0,4,663,423256
503,1,1053,1996,2187,4,1,3,367,185900
504,2,3313,1940,2910,1,2,3,698,183226
505,9,2403,1901,1071,1,2,4,185,327165
506,1,3395,1933,2189,3,0,3,919,197821
507,1,714,1935,3003,2,2,1,633,384301
508,5,657,1906,457,4,0,4,83,130868
509,3,2738,1972,945,3,1,3,632,214053
510,2,3425,1927,1166,4,1,2,821,340311
511,10,2415,2012,1927,1,1,2,54,104738
512,3,1995,1958,3450,1,2,3,776,337771
513,5,935,1959,3386,2,0,4,764,142509
514,4,2120,1938,383,2,0,0,68,285483
515,9,863,1927,2044,2,0,2,475,85183
516,3,2650,1949,2888,2,2,3,376,61208
517,2,1983,1948,1350,1,2,2,601,423473
518,10,2628,1935,1568,4,1,4,696,450423
519,6,1547,1931,2479,3,0,2,476,476096
520,6,1617,1929,1667,3,1,2,30,316609
521,1,1235,2012,1375,3,2,2,183,302875
522,10,1101,1971,1131,2,1,3,919,111194
523,2,3307,2022,1426,3,2,0,901,198074
524,8,653,1921,2210,1,2,2,58,388507
525,5,1356,1963,1480,1,1,2,702,369836
526,7,2797,1944,2951,4,0,1,283,390164
527,10,3314,2012,2764,1,1,1,244,428459
528,3,2848,1928,1201,1,0,3,303,120174
529,7,3231,2015,3255,3,1,3,836,407257
530,6,2332,1965,2535,3,2,2,586,389038
531,1,2317,1931,199,3,1,4,26,240655
532,5,746,1938,985,2,0,1,362,190927
533,1,1551,1966,1477,2,1,0,707,82770
534,10,1460,1954,2907,3,0,3,866,494451
535,3,685,1920,3202,1,1,3,834,176955
536,2,1740,1902,895,3,2,2,122,438657
537,8,1882,1989,151,4,2,2,626,258559
538,2,1675,1931,2673,1,1,2,519,449740
539,2,733,2008,2231,2,0,2,564,201874
540,2,2831,2021,2209,3,0,3,881,127366
541,9,3344,2017,436,2,0,1,388,150980
542,7,2868,1944,2184,2,2,4,897,264120
543,5,2873,1963,1452,4,2,4,588,96445
544,9,3207,1903,168,2,2,1,546,187985
545,8,3275,1984,1506,2,2,0,913,140616
546,6,3096,1909,2984,2,0,4,88,372303
547,3,1543,1979,2224,1,0,4,660,93520
548,10,1929,1935,2937,1,2,0,306,142708
549,2,3199,1978,69,4,1,1,688,206996
550,5,3157,1926,3407,4,1,0,543,85385
551,10,2236,2000,52,2,1,3,762,330649
552,3,3340,2008,3410,4,1,3,738,304593
553,6,1302,1999,189,4,0,2,831,420727
554,9,1079,1913,1624,3,1,1,69,380661
555,1,1392,1941,2829,4,2,1,588,401130
556,10,1802,1988,3186,1,2,1,756,218467
557,2,1718,1909,839,1,1,4,940,485832
558,9,3340,2007,418,4,1,0,449,267274
559,6,1933,1994,1455,4,0,2,605,274690
560,5,2216,2018,2782,3,1,0,40,476278
561,10,3100,1959,1979,1,1,1,414,256600
562,7,861,2010,2845,1,1,1,721,479826
563,6,885,1962,1710,2,1,1,559,176011
564,10,2045,1931,1943,2,0,0,147,218638
565,4,3347,1940,3301,4,0,1,266,208512
566,10,1767,1999,2290,2,2,0,835,326764
567,3,936,2015,3005,4,1,1,118,167202
568,9,1789,1954,1529,2,2,1,929,321548
569,6,1233,1937,174,1,2,3,446,306640
570,2,627,1946,1657,1,1,2,77,212263
571,9,2036,1914,2920,3,0,0,318,273760
572,2,1228,1908,74,3,0,4,695,326698
573,4,2355,1971,2043,4,1,4,661,348456
574,8,2501,1901,56,3,1,4,360,463488
575,2,1389,1972,3349,1,2,0,288,156764
576,5,1237,1945,357,1,0,0,186,494064
577,4,1851,1985,748,1,0,2,36,289578
578,5,653,1980,3454,1,2,2,719,53877
579,1,529,1997,461,2,0,1,191,191756
580,5,1409,1999,679,1,0,1,972,341939
581,8,3150,1923,3274,4,2,3,618,105013
582,2,1491,1933,2133,1,2,4,902,334650
583,5,1163,1988,2902,1,1,1,233,221443
584,5,1063,1993,3368,3,2,4,666,329140
585,7,1777,2012,1046,3,1,4,63,164368
586,5,2880,2007,242,2,1,4,252,310023
587,3,2366,1931,161,4,0,1,120,454116
588,9,2108,1913,504,1,1,4,532,173197
589,4,2791,1991,1188,4,0,3,42,438014
